x-axis,1,2,3
second,Volt,Volt,Volt
-2.500000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.497500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.495000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.492500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.192965116352E+00
-2.490000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.343718886375E+00
-2.487500E-06,+3.193867132068E+00,+3.159743713215E+00,+3.142713859677E+00
-2.485000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.142713859677E+00
-2.482500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.480000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.477500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.475000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.142713859677E+00
-2.472500E-06,+3.043113362044E+00,+3.079341704026E+00,+3.343718886375E+00
-2.470000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.467500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.465000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.462500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.460000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.457500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.455000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.452500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.450000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.343718886375E+00
-2.447500E-06,+3.043113362044E+00,+3.159743713215E+00,+3.142713859677E+00
-2.445000E-06,+3.193867132068E+00,+3.139643210918E+00,+3.142713859677E+00
-2.442500E-06,+3.143615875393E+00,+3.179844215512E+00,+3.142713859677E+00
-2.440000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.437500E-06,+3.043113362044E+00,+3.179844215512E+00,+3.343718886375E+00
-2.435000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.343718886375E+00
-2.432500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.430000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.427500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.293467629701E+00
-2.425000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.243216373027E+00
-2.422500E-06,+3.193867132068E+00,+3.179844215512E+00,+3.142713859677E+00
-2.420000E-06,+2.992862105370E+00,+3.179844215512E+00,+3.343718886375E+00
-2.417500E-06,+3.193867132068E+00,+3.119542708620E+00,+3.142713859677E+00
-2.415000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.343718886375E+00
-2.412500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.410000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.343718886375E+00
-2.407500E-06,+3.193867132068E+00,+3.019040197134E+00,+3.343718886375E+00
-2.405000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.402500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.400000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.343718886375E+00
-2.397500E-06,+2.992862105370E+00,+3.099442206323E+00,+3.142713859677E+00
-2.395000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.243216373026E+00
-2.392500E-06,+3.193867132068E+00,+3.039140699432E+00,+3.192965116352E+00
-2.390000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859678E+00
