x-axis,1,2,3
second,Volt,Volt,Volt
-13.80000E-06,,,
-13.75000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-13.70000E-06,+3.16582917050E+00,+3.01507540047E+00,+2.08040198777E+00
-13.65000E-06,+3.11557791382E+00,+3.11557791382E+00,+2.09045223892E+00
-13.60000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-13.55000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.05025123432E+00
-13.50000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.08040198777E+00
-13.45000E-06,+3.11557791382E+00,+3.11557791382E+00,+2.09045223892E+00
-13.40000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.09045223892E+00
-13.35000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-13.30000E-06,+3.21608042717E+00,+3.06532665714E+00,+2.09045223892E+00
-13.25000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.07035173662E+00
-13.20000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.10050249007E+00
-13.15000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.13065324351E+00
-13.10000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.09045223892E+00
-13.05000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-13.00000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-12.95000E-06,+3.01507540047E+00,+2.81407037377E+00,+2.13065324351E+00
-12.90000E-06,+3.21608042717E+00,+3.06532665714E+00,+2.09045223892E+00
-12.85000E-06,+3.21608042717E+00,+2.91457288712E+00,+2.09045223892E+00
-12.80000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-12.75000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-12.70000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-12.65000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-12.60000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-12.55000E-06,+3.21608042717E+00,+3.21608042717E+00,+2.09045223892E+00
-12.50000E-06,+3.01507540047E+00,+3.06532665714E+00,+2.12060299236E+00
-12.45000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.05025123432E+00
-12.40000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-12.35000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-12.30000E-06,+3.16582917050E+00,+3.01507540047E+00,+2.09045223892E+00
-12.25000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.07035173662E+00
-12.20000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.10050249007E+00
-12.15000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.05025123432E+00
-12.10000E-06,+3.16582917050E+00,+3.01507540047E+00,+2.08040198777E+00
-12.05000E-06,+3.21608042717E+00,+2.91457288712E+00,+2.09045223892E+00
-12.00000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.08040198777E+00
-11.95000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-11.90000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-11.85000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.09045223892E+00
-11.80000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.09045223892E+00
-11.75000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-11.70000E-06,+3.21608042717E+00,+3.06532665714E+00,+2.09045223892E+00
-11.65000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.09045223892E+00
-11.60000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-11.55000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-11.50000E-06,+3.06532665714E+00,+3.16582917050E+00,+2.09045223892E+00
-11.45000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-11.40000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-11.35000E-06,+3.01507540048E+00,+3.01507540047E+00,+2.09045223892E+00
-11.30000E-06,+3.16582917050E+00,+2.96482414380E+00,+2.09045223892E+00
-11.25000E-06,+3.11557791382E+00,+3.11557791382E+00,+2.09045223892E+00
-11.20000E-06,+3.01507540047E+00,+3.16582917049E+00,+2.09045223892E+00
-11.15000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.13065324351E+00
-11.10000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-11.05000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.09045223892E+00
-11.00000E-06,+3.01507540047E+00,+2.86432163045E+00,+2.09045223892E+00
-10.95000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-10.90000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.09045223892E+00
-10.85000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-10.80000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-10.75000E-06,+3.01507540048E+00,+3.01507540047E+00,+2.13065324351E+00
-10.70000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.10050249007E+00
-10.65000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-10.60000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.09045223892E+00
-10.55000E-06,+3.01507540048E+00,+3.01507540047E+00,+2.09045223892E+00
-10.50000E-06,+3.21608042717E+00,+2.96482414380E+00,+2.09045223892E+00
-10.45000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.11055274122E+00
-10.40000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-10.35000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-10.30000E-06,+3.16582917050E+00,+3.01507540047E+00,+2.12060299236E+00
-10.25000E-06,+3.11557791382E+00,+3.01507540047E+00,+2.09045223892E+00
-10.20000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-10.15000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-10.10000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.09045223892E+00
-10.05000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-10.00000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-9.95000E-06,+3.21608042717E+00,+3.01507540048E+00,+2.09045223892E+00
-9.90000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-9.85000E-06,+3.11557791382E+00,+2.91457288713E+00,+2.09045223892E+00
-9.80000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.08040198777E+00
-9.75000E-06,+3.21608042717E+00,+3.21608042716E+00,+2.09045223892E+00
-9.70000E-06,+3.16582917050E+00,+3.01507540047E+00,+2.09045223892E+00
-9.65000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-9.60000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-9.55000E-06,+3.01507540048E+00,+3.01507540047E+00,+2.09045223892E+00
-9.50000E-06,+3.21608042717E+00,+3.06532665714E+00,+2.09045223892E+00
-9.45000E-06,+3.11557791383E+00,+3.01507540047E+00,+2.09045223892E+00
-9.40000E-06,+3.16582917049E+00,+2.86432163045E+00,+2.09045223892E+00
-9.35000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.05025123432E+00
-9.30000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.06030148547E+00
-9.25000E-06,+3.11557791383E+00,+3.01507540047E+00,+2.09045223892E+00
-9.20000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-9.15000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-9.10000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.09045223892E+00
-9.05000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.09045223892E+00
-9.00000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-8.95000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-8.90000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.08040198777E+00
-8.85000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.09045223892E+00
-8.80000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.08040198777E+00
-8.75000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-8.70000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.09045223892E+00
-8.65000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-8.60000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.08040198777E+00
-8.55000E-06,+3.21608042716E+00,+3.01507540047E+00,+2.09045223892E+00
-8.50000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-8.45000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.05025123432E+00
-8.40000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-8.35000E-06,+3.21608042716E+00,+3.01507540047E+00,+2.09045223892E+00
-8.30000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-8.25000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.11055274121E+00
-8.20000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-8.15000E-06,+3.21608042717E+00,+3.01507540046E+00,+2.09045223892E+00
-8.10000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.05025123432E+00
-8.05000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.09045223892E+00
-8.00000E-06,+3.21608042717E+00,+3.16582917049E+00,+2.09045223892E+00
