x-axis,1,2,3
second,Volt,Volt,Volt
+237.96000E-06,,,
+237.97000E-06,-1.64679400530E+00,+3.53487434238E+00,+62.11069599E-03
+237.98000E-06,-908.10054587E-03,+2.55999998097E+00,-138.89432698E-03
+237.99000E-06,+51.69843882E-03,+2.24844219536E+00,-76.08025731E-03
+238.00000E-06,+217.52758277E-03,+3.06251253839E+00,-58.49231780E-03
+238.01000E-06,-109.10557956E-03,+3.93688438833E+00,-58.49231780E-03
+238.02000E-06,-264.88447236E-03,+3.69065323519E+00,-18.29131320E-03
+238.03000E-06,-28.70357037E-03,+3.08763816627E+00,-58.49231780E-03
+238.04000E-06,-189.50758874E-03,+2.65045224130E+00,-58.49231780E-03
+238.05000E-06,-430.71361631E-03,+2.81125625968E+00,-58.49231780E-03
+238.06000E-06,-345.28648155E-03,+3.29366831481E+00,-58.49231780E-03
+238.07000E-06,-28.70357037E-03,+3.37407032400E+00,-81.10538288E-03
+238.08000E-06,+132.10044801E-03,+3.21326630563E+00,-98.69332239E-03
+238.09000E-06,+16.52255980E-03,+3.13286429644E+00,-76.08025731E-03
+238.10000E-06,-194.53271431E-03,+3.05246228725E+00,-96.18075961E-03
+238.11000E-06,-269.90959793E-03,+3.00723615709E+00,-76.08025731E-03
+238.12000E-06,-264.88447237E-03,+3.12783917087E+00,-58.49231780E-03
+238.13000E-06,-154.33170971E-03,+3.13286429644E+00,-81.10538288E-03
+238.14000E-06,-109.10557956E-03,+3.13286429644E+00,-58.49231780E-03
+238.15000E-06,-189.50758874E-03,+3.21326630563E+00,-81.10538288E-03
+238.16000E-06,-109.10557956E-03,+3.13286429644E+00,-96.18075961E-03
+238.17000E-06,-189.50758874E-03,+3.13286429644E+00,-81.10538287E-03
+238.18000E-06,-114.13070512E-03,+3.05246228725E+00,-58.49231780E-03
+238.19000E-06,-189.50758874E-03,+3.08763816628E+00,-81.10538287E-03
+238.20000E-06,-189.50758874E-03,+3.13286429644E+00,-58.49231780E-03
+238.21000E-06,-28.70357037E-03,+3.13286429644E+00,-58.49231780E-03
+238.22000E-06,-114.13070512E-03,+3.13286429644E+00,-61.00488058E-03
+238.23000E-06,-109.10557956E-03,+3.05246228725E+00,-76.08025731E-03
+238.24000E-06,-114.13070511E-03,+3.12783917088E+00,-98.69332239E-03
+238.25000E-06,-109.10557956E-03,+3.13286429644E+00,-58.49231780E-03
+238.26000E-06,-114.13070511E-03,+3.13286429644E+00,-98.69332239E-03
+238.27000E-06,-154.33170971E-03,+3.13286429644E+00,-81.10538287E-03
+238.28000E-06,-109.10557956E-03,+3.13788942199E+00,-58.49231780E-03
+238.29000E-06,-234.73371890E-03,+3.09768841740E+00,-76.08025731E-03
+238.30000E-06,-189.50758874E-03,+3.13286429644E+00,-58.49231780E-03
+238.31000E-06,-154.33170971E-03,+3.13286429644E+00,-81.10538287E-03
+238.32000E-06,-189.50758874E-03,+3.13286429644E+00,-58.49231780E-03
+238.33000E-06,-109.10557956E-03,+3.16804017548E+00,-98.69332239E-03
+238.34000E-06,-109.10557956E-03,+3.13286429644E+00,-96.18075961E-03
+238.35000E-06,-189.50758874E-03,+3.13286429644E+00,-76.08025732E-03
+238.36000E-06,-109.10557956E-03,+3.13286429644E+00,-61.00488057E-03
+238.37000E-06,-144.28145860E-03,+3.13286429644E+00,-81.10538287E-03
+238.38000E-06,-184.48246319E-03,+3.20824118007E+00,-61.00488057E-03
+238.39000E-06,-109.10557956E-03,+3.13286429644E+00,-58.49231780E-03
