Shunt Resister, 15.1 ohm
I(μA), Vout(V)
11.0, 0.0038
12.6, 0.0038
13.5, 0.0038
18.2, 0.0068
28.4, 0.081
38.9, 0.159
49.3, 0.236
89.5, 0.532
94.4, 0.570
99.2, 0.606
108.7, 0.676
113.5, 0.712
118.2, 0.746
122.8, 0.781
127.5, 0.815
132.0, 0.849
136.6, 0.883
141.2, 0.917
145.7, 0.951
150.2, 0.984
154.7, 1.017
159.2, 1.050
163.6, 1.082
168.0, 1.116
172.4, 1.149
176.8 ,1.181
181.2, 1.213
185.5, 1.245
189.8, 1.277
194.1, 1.309
198.4, 1.340
202.6, 1.372
206.9, 1.405
211.0, 1.435
215.2, 1.466
261.9, 1.812
281.2, 1.956
286.9, 1.997
292.0, 2.036
301.3, 2.108
319.4, 2.241
341.9, 2.408
356.0, 2.512
357.1, 2.521
365.7, 2.584
383.8, 2.719
391.3, 2.774
407 , 2.889
414, 2.944
