x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+5.000000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.005000E-06,+3.000904344022E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.010000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.015000E-06,+3.000904344022E+00,+998.957242817E-03,+37.625707686E-03,-72.964772582E-03
+5.020000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.025000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,+7.437236607E-03
+5.030000E-06,+2.900401830673E+00,+878.354229033E-03,+37.625707686E-03,-153.366781771E-03
+5.035000E-06,+2.900401830673E+00,+958.756238222E-03,-42.776301503E-03,-153.366781771E-03
+5.040000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.045000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.050000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+5.055000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+5.060000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+5.065000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-32.763767988E-03
+5.070000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.075000E-06,+3.101406857371E+00,+878.354229033E-03,-42.776301503E-03,-72.964772582E-03
+5.080000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+5.085000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,+7.437236607E-03
+5.090000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.095000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.100000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+5.105000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.110000E-06,+3.302411884069E+00,+878.354229033E-03,-42.776301503E-03,-72.964772582E-03
+5.115000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.120000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.125000E-06,+3.101406857371E+00,+878.354229033E-03,-42.776301503E-03,-72.964772582E-03
+5.130000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.135000E-06,+3.101406857371E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.140000E-06,+2.900401830673E+00,+958.756238222E-03,-42.776301503E-03,-72.964772582E-03
+5.145000E-06,+3.101406857371E+00,+958.756238222E-03,+37.625707686E-03,-72.964772582E-03
+5.150000E-06,+3.101406857371E+00,+958.756238222E-03,-123.178310692E-03,-72.964772582E-03
