x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+1.8000000E-06,+564.5224079490E-03,+1.9127261266112E+00,+1.9315957129002E+00,-37.3468920589E-03
+1.8005000E-06,+443.9193941653E-03,+1.9127261266112E+00,+1.8511937037110E+00,+43.0551171303E-03
+1.8010000E-06,+283.1153757870E-03,+1.9127261266112E+00,+1.8913947083056E+00,+43.0551171303E-03
+1.8015000E-06,+182.6128643006E-03,+1.9127261266112E+00,+1.9315957129002E+00,-17.2463897616E-03
+1.8020000E-06,+82.1103528142E-03,+1.9127261266112E+00,+1.9315957129002E+00,-37.3468920588E-03
+1.8025000E-06,-98.7941678614E-03,+1.8926256243139E+00,+1.9315957129002E+00,-17.2463897615E-03
+1.8030000E-06,-159.0956747532E-03,+1.8323241174221E+00,+1.9315957129002E+00,+43.0551171303E-03
+1.8035000E-06,-159.0956747532E-03,+1.8323241174221E+00,+1.8712942060083E+00,-17.2463897616E-03
+1.8040000E-06,-239.4976839423E-03,+1.8323241174221E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8045000E-06,-239.4976839423E-03,+1.8323241174221E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8050000E-06,-239.4976839423E-03,+1.8323241174221E+00,+1.8913947083057E+00,-37.3468920588E-03
+1.8055000E-06,-239.4976839423E-03,+1.8323241174221E+00,+1.8712942060083E+00,-37.3468920588E-03
+1.8060000E-06,-239.4976839423E-03,+1.7519221082330E+00,+1.8511937037110E+00,-117.7489012480E-03
+1.8065000E-06,-259.5981862397E-03,+1.7519221082330E+00,+1.8511937037110E+00,-97.6483989506E-03
+1.8070000E-06,-319.8996931314E-03,+1.7519221082330E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8075000E-06,-319.8996931314E-03,+1.7519221082330E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8080000E-06,-400.3017023206E-03,+1.7519221082329E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8085000E-06,-400.3017023206E-03,+1.6715200990439E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8090000E-06,-400.3017023206E-03,+1.7117211036385E+00,+1.8511937037110E+00,-37.3468920588E-03
+1.8095000E-06,-460.6032092125E-03,+1.7519221082330E+00,+1.7908921968191E+00,-37.3468920588E-03
+1.8100000E-06,-480.7037115097E-03,+1.7519221082329E+00,+1.7707916945219E+00,-37.3468920588E-03
+1.8105000E-06,-480.7037115097E-03,+1.6715200990439E+00,+1.7707916945219E+00,-37.3468920588E-03
+1.8110000E-06,-480.7037115097E-03,+1.6715200990439E+00,+1.7707916945219E+00,-37.3468920588E-03
+1.8115000E-06,-480.7037115097E-03,+1.6112185921519E+00,+1.7104901876299E+00,-37.3468920588E-03
+1.8120000E-06,-400.3017023206E-03,+1.5911180898546E+00,+1.6903896853326E+00,-117.7489012480E-03
+1.8125000E-06,-380.2012000231E-03,+1.5107160806656E+00,+1.6099876761437E+00,-117.7489012480E-03
+1.8130000E-06,-279.6986885367E-03,+1.4705150760709E+00,+1.6099876761437E+00,-117.7489012480E-03
