x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-06,+644.92441714E-03,+1.91272612661E+00,+1.93159571290E+00,-37.34689206E-03
-24.97500E-06,+1.70834363E-03,+1.75192210823E+00,+1.77079169452E+00,-117.74890125E-03
-24.95000E-06,-38.49266097E-03,+1.83232411742E+00,+1.85119370371E+00,-37.34689206E-03
-24.92500E-06,-159.09567475E-03,+1.67152009904E+00,+1.69038968533E+00,-37.34689206E-03
-24.90000E-06,+1.12733647227E+00,+1.51071608067E+00,+1.69038968533E+00,-37.34689206E-03
-24.87500E-06,+1.69015053660E+00,+1.67152009904E+00,+1.77079169452E+00,-17.24638976E-03
-24.85000E-06,+1.69015053660E+00,+1.63131909445E+00,+1.69038968533E+00,-117.74890125E-03
-24.82500E-06,+1.85095455498E+00,+1.77202261053E+00,+1.85119370371E+00,-97.64839895E-03
-24.80000E-06,+564.52240795E-03,+1.91272612661E+00,+1.93159571290E+00,-37.34689206E-03
-24.77500E-06,+1.70834363E-03,+1.83232411742E+00,+1.85119370371E+00,-117.74890125E-03
-24.75000E-06,-38.49266097E-03,+1.75192210823E+00,+1.81099269912E+00,+43.05511713E-03
-24.72500E-06,-159.09567475E-03,+1.67152009904E+00,+1.69038968533E+00,-37.34689206E-03
-24.70000E-06,+1.12733647228E+00,+1.51071608067E+00,+1.60998767614E+00,-117.74890125E-03
-24.67500E-06,+1.67005003430E+00,+1.67152009904E+00,+1.69038968533E+00,+123.45712632E-03
-24.65000E-06,+1.69015053660E+00,+1.59111808985E+00,+1.69038968533E+00,-37.34689206E-03
-24.62500E-06,+1.91125606187E+00,+1.83232411742E+00,+1.85119370371E+00,+43.05511713E-03
-24.60000E-06,+564.52240795E-03,+1.83232411742E+00,+1.85119370371E+00,-117.74890125E-03
-24.57500E-06,-78.69366556E-03,+1.75192210823E+00,+1.77079169452E+00,-117.74890125E-03
-24.55000E-06,+1.70834363E-03,+1.79212311283E+00,+1.81099269912E+00,-37.34689206E-03
-24.52500E-06,-138.99517246E-03,+1.67152009904E+00,+1.69038968533E+00,-37.34689206E-03
-24.50000E-06,+1.20773848146E+00,+1.51071608066E+00,+1.60998767614E+00,-37.34689206E-03
-24.47500E-06,+1.69015053660E+00,+1.67152009904E+00,+1.77079169452E+00,-17.24638976E-03
-24.45000E-06,+1.69015053660E+00,+1.59111808985E+00,+1.69038968533E+00,-37.34689206E-03
-24.42500E-06,+1.85095455498E+00,+1.83232411742E+00,+1.85119370371E+00,-37.34689206E-03
-24.40000E-06,+564.52240794E-03,+1.91272612661E+00,+1.85119370371E+00,+43.05511713E-03
-24.37500E-06,+1.70834363E-03,+1.77202261053E+00,+1.77079169452E+00,-117.74890125E-03
-24.35000E-06,-38.49266097E-03,+1.75192210823E+00,+1.81099269912E+00,-37.34689206E-03
-24.32500E-06,-138.99517246E-03,+1.65141959675E+00,+1.71049018763E+00,-117.74890125E-03
-24.30000E-06,+1.28814049065E+00,+1.51071608066E+00,+1.60998767614E+00,-117.74890125E-03
-24.27500E-06,+1.75045204349E+00,+1.69162060134E+00,+1.75069119222E+00,-37.34689206E-03
-24.25000E-06,+1.69015053660E+00,+1.59111808985E+00,+1.77079169452E+00,-117.74890125E-03
-24.22500E-06,+1.91125606187E+00,+1.83232411742E+00,+1.91149521060E+00,-37.34689206E-03
-24.20000E-06,+484.12039876E-03,+1.91272612661E+00,+1.85119370371E+00,-117.74890125E-03
-24.17500E-06,+1.70834363E-03,+1.83232411742E+00,+1.77079169452E+00,-117.74890125E-03
-24.15000E-06,+82.11035281E-03,+1.83232411742E+00,+1.85119370371E+00,-37.34689206E-03
-24.12500E-06,-159.09567475E-03,+1.59111808985E+00,+1.69038968533E+00,-97.64839895E-03
-24.10000E-06,+1.36854249984E+00,+1.51071608067E+00,+1.60998767614E+00,-117.74890125E-03
-24.07500E-06,+1.69015053660E+00,+1.67152009904E+00,+1.77079169452E+00,-37.34689206E-03
